ticker,name,removed_because,detail,kept_instead,aum_usd_m
2B79.DE,iShares Digitalisation UCITS ETF,duplicate,"same fund, smaller listing",DGIT.L,888.5
4COP.DE,Global X Copper Miners UCITS ETF,duplicate,"same fund, smaller listing",COPG.L,1320.1
AMEQ.DE,Amundi Index Solutions - Amundi MSCI Europe Quality Factor UCITS ETF-C,duplicate,same exposure: European quality factor,IEFQ.L,319.7
ANRJ.L,Amundi Global Hydrogen UCITS ETF - Acc,duplicate,same exposure: hydrogen economy,HTWG.L,304.0
APEX.MI,Amundi MSCI AC Asia Ex Japan UCITS ETF Acc,duplicate,same exposure: EM / Asia ex-Japan equity,SPYA.DE,454.7
AUCP.L,L&G Gold Mining UCITS ETF,duplicate,same exposure: gold miners,GDGB.L,926.8
BCHN.L,Invesco CoinShares Global Blockchain UCITS ETF,duplicate,"same fund, smaller listing",BCHS.L,975.7
BOTZ.SW,Global X Robotics & Artificial Intelligence UCITS ETF USD Acc,duplicate,"same fund, smaller listing",ROBG.L,198.3
CSJP.MI,iShares VII PLC - iShares MSCI Japan ETF USD Acc,duplicate,same exposure: Japan equity,SJPA.L,1958.7
CSNDX.SW,iShares NASDAQ 100 UCITS ETF USD (Acc),duplicate,"same fund, smaller listing",CNDX.L,22150.0
CV9.PA,Amundi Index Solutions - Amundi MSCI Europe Value Factor UCITS ETF-C,duplicate,same exposure: European value factor,IEFV.L,423.3
CW8.PA,Amundi Index Solutions - Amundi MSCI World Swap UCITS ETF EUR Acc,duplicate,same exposure: developed world large/mid,XDWD.L,7699.8
DAGB.L,VanEck Crypto& Blockchain Innovators ETF A USD Acc,duplicate,same exposure: blockchain/crypto equity,BCHS.L,697.8
DAPP.L,VanEck Crypto & Blockchain Innovators UCITS ETF USD Acc,duplicate,"same fund, smaller listing",DAGB.L,511.3
DGTL.L,iShares Digitalisation UCITS ETF USD (Acc),duplicate,"same fund, smaller listing",DGIT.L,760.9
EEIP.L,WisdomTree Europe High Dividend UCITS ETF Acc,duplicate,same exposure: European high dividend,CD9.PA,300.7
ESIE.L,iShares MSCI Europe Energy Sector UCITS ETF,duplicate,same exposure: European energy sector,ENGE.L,417.7
FSKY.L,First Trust Cloud Computing UCITS ETF,duplicate,"same fund, smaller listing",FSKY.MI,384.4
FWRA.L,Invesco FTSE All-World UCITS ETF USD Accumulation,duplicate,same exposure: FTSE All-World,VWCE.DE,3746.0
GDIG.L,VanEck S&P Global Mining UCITS ETF USD Acc,duplicate,"same fund, smaller listing (also miscategorised)",GIGB.L,1931.0
GLGG.L,L&G Clean Water UCITS ETF,duplicate,same exposure: global water equity,H2OA.AS,1025.6
HCHS.L,HSBC MSCI China UCITS ETF,duplicate,same exposure: MSCI China,XCS6.DE,1540.0
HEMC.L,HSBC MSCI Emerging Markets UCITS ETF,duplicate,same exposure: broad emerging markets,XMMS.L,7839.7
HMJS.PA,HSBC MSCI JAPAN UCITS ETF,duplicate,same exposure: Japan equity,SJPA.L,293.5
HNSC.L,HSBC NASDAQ Global Semiconductor UCITS ETF USD,duplicate,"same fund, smaller listing",HNSS.L,238.0
HNSS.L,HSBC NASDAQ Global Semiconductor UCITS ETF,duplicate,same exposure: semiconductors,SMHV.SW,324.8
HTWO.L,L&G Hydrogen Economy UCITS ETF USD Acc,duplicate,"same fund, smaller listing",HTWG.L,463.9
LCCN.SW,Amundi MSCI China UCITS ETF,duplicate,same exposure: MSCI China,XCS6.DE,905.7
LGAG.L,L&G Asia Pacific ex Japan Equity UCITS ETF,duplicate,same exposure: Asia Pacific ex-Japan,AEJL.L,1071.7
LGGG.L,L&G Global Equity UCITS ETF,duplicate,same exposure: developed world large/mid,XDWD.L,2395.6
LGJG.L,L&G Japan Equity UCITS ETF,duplicate,same exposure: Japan equity,SJPA.L,1311.0
